SERIALNO,ST,PUMA,WGTP,Sm_Lo,Sm_Md,Sm_Hi,Lg_Lo,Lg_Md,Lg_Hi,Mil_Sm,Mil_Lg,ColDorm,Pers,IncK,Weight,hh
2014000000052,6,7301,38,0,0,0,0,1,0,0,0,0,4,78,38,1
2014000000120,6,7321,0,0,0,0,0,0,0,1,0,0,1,0,20,1
2014000000379,6,7313,11,0,1,0,0,0,0,0,0,0,1,48,11,1
2014000000617,6,7312,0,0,0,0,0,0,0,1,0,0,1,0,20,1
2014000000725,6,7318,25,0,0,0,0,1,0,0,0,0,5,67,25,1
2014000000842,6,7312,12,0,1,0,0,0,0,0,0,0,1,31,12,1
2014000001104,6,7321,8,0,0,0,1,0,0,0,0,0,3,17,8,1
2014000001169,6,7306,8,0,0,1,0,0,0,0,0,0,2,215,8,1
2014000001229,6,7310,14,0,0,1,0,0,0,0,0,0,2,255,14,1
2014000001339,6,7320,12,0,0,0,0,1,0,0,0,0,6,130,12,1
2014000001362,6,7317,18,0,0,0,0,1,0,0,0,0,3,55,18,1
2014000001682,6,7303,24,0,0,0,0,1,0,0,0,0,4,58,24,1
2014000001703,6,7316,19,0,1,0,0,0,0,0,0,0,1,91,19,1
2014000001716,6,7301,65,0,0,0,0,0,0,0,1,0,4,48,65,1
2014000001752,6,7310,9,0,1,0,0,0,0,0,0,0,2,118,9,1
2014000001772,6,7313,13,0,0,1,0,0,0,0,0,0,2,167,13,1
2014000001960,6,7310,8,0,0,1,0,0,0,0,0,0,1,345,8,1
2014000001968,6,7306,22,1,0,0,0,0,0,0,0,0,2,22,22,1
2014000002207,6,7322,7,0,0,0,0,1,0,0,0,0,4,77,7,1
2014000002261,6,7313,22,0,0,0,0,1,0,0,0,0,5,56,22,1
2014000002288,6,7311,13,0,0,0,0,0,1,0,0,0,3,498,13,1
2014000002315,6,7314,28,0,0,1,0,0,0,0,0,0,2,275,28,1
2014000002439,6,7316,18,1,0,0,0,0,0,0,0,0,1,20,18,1
2014000002496,6,7316,21,0,1,0,0,0,0,0,0,0,2,66,21,1
2014000002507,6,7310,0,0,0,0,0,0,0,1,0,0,1,0,20,1
2014000002555,6,7311,19,0,1,0,0,0,0,0,0,0,1,86,19,1
2014000002716,6,7307,12,0,1,0,0,0,0,0,0,0,1,48,12,1
2014000002785,6,7318,13,0,1,0,0,0,0,0,0,0,1,56,13,1
2014000002847,6,7315,0,0,0,0,0,0,0,0,0,1,1,0,20,1
2014000003003,6,7315,0,0,0,0,0,0,0,0,0,1,1,0,20,1
2014000003054,6,7318,12,0,0,0,1,0,0,0,0,0,5,23,12,1
2014000003289,6,7308,50,0,1,0,0,0,0,0,0,0,1,33,50,1
2014000003345,6,7314,43,1,0,0,0,0,0,0,0,0,1,23,43,1
2014000003414,6,7320,8,0,1,0,0,0,0,0,0,0,2,45,8,1
2014000003804,6,7312,0,0,0,0,0,0,0,1,0,0,1,0,20,1
2014000003839,6,7303,27,1,0,0,0,0,0,0,0,0,1,22,27,1
2014000004126,6,7301,0,0,0,0,0,0,0,1,0,0,1,0,20,1
2014000004244,6,7313,12,0,0,0,0,1,0,0,0,0,3,48,12,1
2014000004345,6,7308,19,0,1,0,0,0,0,0,0,0,2,27,19,1
2014000004376,6,7305,23,0,1,0,0,0,0,0,0,0,2,26,23,1
2014000004979,6,7310,54,0,0,0,0,1,0,0,0,0,3,49,54,1
2014000005241,6,7322,9,1,0,0,0,0,0,0,0,0,1,14,9,1
2014000005318,6,7309,8,0,0,0,0,0,1,0,0,0,3,168,8,1
2014000005653,6,7302,15,0,1,0,0,0,0,0,0,0,2,31,15,1
2014000005745,6,7312,13,1,0,0,0,0,0,0,0,0,1,16,13,1
2014000005746,6,7301,0,0,0,0,0,0,0,1,0,0,1,0,20,1
2014000006224,6,7310,23,0,1,0,0,0,0,0,0,0,2,96,23,1
2014000006326,6,7315,13,0,0,1,0,0,0,0,0,0,2,167,13,1
2014000006334,6,7315,16,0,0,1,0,0,0,0,0,0,2,268,16,1
2014000006467,6,7322,13,0,0,0,0,1,0,0,0,0,4,70,13,1
2014000006537,6,7305,27,0,0,0,0,0,1,0,0,0,3,222,27,1
2014000006578,6,7308,13,0,0,0,0,0,1,0,0,0,3,240,13,1
2014000006679,6,7303,34,0,0,1,0,0,0,0,0,0,2,487,34,1
2014000006683,6,7318,11,0,0,0,0,1,0,0,0,0,5,67,11,1
2014000007132,6,7313,14,1,0,0,0,0,0,0,0,0,1,15,14,1
2014000007219,6,7321,13,0,0,0,1,0,0,0,0,0,5,15,13,1
2014000007864,6,7322,20,0,0,1,0,0,0,0,0,0,1,166,20,1
2014000007896,6,7322,10,0,1,0,0,0,0,0,0,0,1,27,10,1
2014000007930,6,7301,12,0,1,0,0,0,0,0,0,0,1,28,12,1
2014000007990,6,7317,22,0,0,0,0,1,0,0,0,0,4,80,22,1
2014000008205,6,7315,14,0,1,0,0,0,0,0,0,0,2,51,14,1
2014000008274,6,7311,21,0,0,1,0,0,0,0,0,0,1,379,21,1
2014000008290,6,7320,25,0,0,0,0,1,0,0,0,0,3,32,25,1
2014000008314,6,7310,0,0,0,0,0,0,0,1,0,0,1,0,20,1
2014000008320,6,7318,22,0,0,0,0,1,0,0,0,0,8,36,22,1
2014000008465,6,7312,13,0,1,0,0,0,0,0,0,0,2,127,13,1
2014000008915,6,7321,40,0,0,0,0,1,0,0,0,0,3,51,40,1
2014000008930,6,7304,11,0,0,0,0,0,1,0,0,0,5,271,11,1
2014000009053,6,7314,21,0,0,0,0,1,0,0,0,0,3,133,21,1
2014000009055,6,7316,30,0,1,0,0,0,0,0,0,0,1,75,30,1
2014000009105,6,7305,15,0,1,0,0,0,0,0,0,0,2,141,15,1
2014000009242,6,7311,19,0,0,0,0,0,1,0,0,0,4,399,19,1
2014000009248,6,7314,11,0,0,0,0,0,1,0,0,0,4,205,11,1
2014000009306,6,7321,38,0,0,0,0,1,0,0,0,0,4,50,38,1
2014000009423,6,7315,26,0,0,0,0,0,1,0,0,0,5,262,26,1
2014000009560,6,7309,22,0,1,0,0,0,0,0,0,0,1,27,22,1
2014000009637,6,7310,70,0,0,0,1,0,0,0,0,0,4,24,70,1
2014000009686,6,7306,36,1,0,0,0,0,0,0,0,0,1,13,36,1
2014000010131,6,7301,138,0,1,0,0,0,0,0,0,0,2,37,138,1
2014000010262,6,7301,13,0,0,0,0,1,0,0,0,0,3,46,13,1
2014000010326,6,7315,13,0,1,0,0,0,0,0,0,0,2,54,13,1
2014000010533,6,7312,11,0,0,0,0,0,1,0,0,0,4,249,11,1
2014000010540,6,7302,3,0,1,0,0,0,0,0,0,0,1,27,3,1
2014000010598,6,7316,24,0,0,0,0,1,0,0,0,0,3,71,24,1
2014000010675,6,7318,31,1,0,0,0,0,0,0,0,0,1,16,31,1
2014000010705,6,7302,14,0,0,0,0,1,0,0,0,0,3,43,14,1
2014000010710,6,7317,11,0,0,0,0,1,0,0,0,0,4,146,11,1
2014000011037,6,7316,25,0,0,0,0,0,1,0,0,0,4,955,25,1
2014000011143,6,7314,27,0,0,0,0,1,0,0,0,0,3,88,27,1
2014000011265,6,7321,13,0,1,0,0,0,0,0,0,0,2,62,13,1
2014000011523,6,7310,8,0,0,1,0,0,0,0,0,0,2,223,8,1
2014000011586,6,7313,66,0,0,0,0,1,0,0,0,0,3,91,66,1
2014000011889,6,7321,14,0,0,0,0,1,0,0,0,0,5,36,14,1
2014000011936,6,7308,24,0,0,0,0,0,1,0,0,0,6,187,24,1
2014000012189,6,7313,13,0,0,0,0,0,1,0,0,0,3,156,13,1
2014000012217,6,7309,32,0,0,0,0,1,0,0,0,0,3,58,32,1
2014000012818,6,7313,20,0,0,1,0,0,0,0,0,0,2,182,20,1
2014000012914,6,7318,9,0,0,0,0,1,0,0,0,0,3,71,9,1
2014000012957,6,7310,20,0,1,0,0,0,0,0,0,0,1,110,20,1
2014000013024,6,7319,13,1,0,0,0,0,0,0,0,0,1,14,13,1
2014000013110,6,7313,37,0,1,0,0,0,0,0,0,0,2,46,37,1
2014000013238,6,7313,37,0,1,0,0,0,0,0,0,0,1,80,37,1
2014000013332,6,7318,8,0,0,0,1,0,0,0,0,0,4,19,8,1
2014000013335,6,7314,26,0,1,0,0,0,0,0,0,0,1,66,26,1
2014000013513,6,7312,0,0,0,0,0,0,0,1,0,0,1,0,20,1
2014000013560,6,7304,22,0,1,0,0,0,0,0,0,0,2,29,22,1
2014000013719,6,7316,31,0,0,0,1,0,0,0,0,0,3,16,31,1
2014000013962,6,7306,61,0,1,0,0,0,0,0,0,0,2,26,61,1
2014000014015,6,7312,13,0,1,0,0,0,0,0,0,0,2,72,13,1
2014000014031,6,7304,13,0,0,0,0,0,1,0,0,0,6,214,13,1
2014000014057,6,7304,12,1,0,0,0,0,0,0,0,0,1,19,12,1
2014000014239,6,7308,26,0,1,0,0,0,0,0,0,0,1,61,26,1
2014000014593,6,7322,15,0,0,0,0,1,0,0,0,0,5,129,15,1
2014000014781,6,7304,46,1,0,0,0,0,0,0,0,0,2,0,46,1
2014000015080,6,7315,22,0,0,0,0,0,0,1,0,0,1,43,22,1
2014000015249,6,7304,7,0,0,1,0,0,0,0,0,0,2,184,7,1
